step,sla_met,sla_embb_step,sla_urllc_step,sla_mmtc_step,sla_avg_step,total_throughput,bandwidth_util,decision_latency,token_usage,reward,alloc_embb,alloc_urllc,alloc_mmtc,sla_rate_embb,sla_rate_urllc,sla_rate_mmtc,seed,scenario,method
27,"[False, True, False]",0,1,0,0.3333333333333333,4157.0,0.7005,8.700079202651978,1248,0.3768166666666666,0.25,0.7,0.05,0.4,0.9,0.5,42,steady,M5-PA
28,"[False, True, False]",0,1,0,0.3333333333333333,4793.0,0.5355,8.101845979690552,1248,0.2939833333333333,0.1499999999999999,0.8,0.05,0.3,0.9,0.4,42,steady,M5-PA
29,"[False, True, False]",0,1,0,0.3333333333333333,4759.0,0.4817499999999999,10.451643228530884,1248,0.244525,0.05,0.9,0.05,0.2,0.9,0.3,42,steady,M5-PA
30,"[False, True, False]",0,1,0,0.3333333333333333,6365.0,0.62125,9.154233932495115,1249,0.2697083333333332,0.05,0.9,0.05,0.1,1.0,0.2,42,steady,M5-PA
31,"[False, True, False]",0,1,0,0.3333333333333333,4770.0,0.4675,9.060257196426392,1247,0.2069166666666667,0.05,0.9,0.05,0.1,1.0,0.1,42,steady,M5-PA
32,"[False, True, False]",0,1,0,0.3333333333333333,4852.0,0.52625,9.401532888412476,1249,0.2078749999999999,0.05,0.9,0.05,0.1,1.0,0.0,42,steady,M5-PA
33,"[True, False, True]",1,0,1,0.6666666666666666,5172.0,0.51725,8.405245065689087,1243,0.2885083333333333,0.55,0.1999999999999999,0.2499999999999999,0.2,0.9,0.1,42,steady,M5-PA
34,"[True, False, False]",1,0,0,0.3333333333333333,5186.000000000001,0.493,7.091529130935669,1250,0.2145666666666666,0.65,0.3,0.05,0.3,0.8,0.1,42,steady,M5-PA
35,"[True, True, False]",1,1,0,0.6666666666666666,5378.0,0.547,7.949907064437866,1258,0.3141,0.5499999999999999,0.4,0.05,0.4,0.8,0.1,42,steady,M5-PA
36,"[False, True, False]",0,1,0,0.3333333333333333,5925.0,0.6082500000000001,7.28759503364563,1260,0.2491416666666667,0.4499999999999999,0.5,0.05,0.3,0.8,0.1,42,steady,M5-PA
37,"[False, True, False]",0,1,0,0.3333333333333333,4761.0,0.50625,8.129775762557983,1249,0.2185416666666667,0.35,0.6,0.05,0.3,0.8,0.1,42,steady,M5-PA
38,"[False, True, False]",0,1,0,0.3333333333333333,5335.0,0.45575,7.107501983642578,1245,0.2033916666666667,0.25,0.7,0.05,0.3,0.8,0.1,42,steady,M5-PA
39,"[False, True, False]",0,1,0,0.3333333333333333,4388.0,0.64,6.930061101913452,1256,0.2586666666666666,0.1499999999999999,0.8,0.05,0.3,0.8,0.1,42,steady,M5-PA
40,"[False, True, False]",0,1,0,0.3333333333333333,5223.0,0.564,6.2770891189575195,1245,0.2358666666666666,0.05,0.9,0.05,0.3,0.8,0.1,42,steady,M5-PA
41,"[False, True, False]",0,1,0,0.3333333333333333,5223.0,0.552,7.408825874328613,1252,0.2322666666666666,0.05,0.9,0.05,0.3,0.8,0.1,42,steady,M5-PA
42,"[False, True, True]",0,1,1,0.6666666666666666,3819.999999999999,0.52625,6.597824811935425,1244,0.307875,0.3833333333333333,0.2833333333333333,0.3333333333333333,0.3,0.8,0.2,42,steady,M5-PA
43,"[False, False, False]",0,0,0,0.0,3090.0,0.43475,6.980547189712524,1241,0.1137583333333333,0.5,0.35,0.15,0.2,0.8,0.1,42,steady,M5-PA
44,"[False, False, True]",0,0,1,0.3333333333333333,2210.0,0.50725,8.292242050170898,1243,0.2021749999999999,0.6166666666666667,0.0666666666666666,0.3166666666666666,0.1,0.8,0.2,42,steady,M5-PA
45,"[False, False, False]",0,0,0,0.0,2450.0,0.629,6.988721132278442,1245,0.1387,0.75,0.15,0.1,0.0,0.7,0.2,42,steady,M5-PA
46,"[False, True, True]",0,1,1,0.6666666666666666,2600.0,0.63125,6.738315105438232,1244,0.2893749999999999,0.25,0.4,0.35,0.0,0.7,0.3,42,steady,M5-PA
47,"[False, True, False]",0,1,0,0.3333333333333333,3003.0,0.58375,7.151388883590698,1243,0.2084583333333333,0.4499999999999999,0.5,0.05,0.0,0.7,0.3,42,steady,M5-PA
48,"[False, True, False]",0,1,0,0.3333333333333333,2540.0,0.4635,7.508995056152344,1250,0.1723833333333332,0.35,0.6,0.05,0.0,0.7,0.3,42,steady,M5-PA
49,"[False, True, False]",0,1,0,0.3333333333333333,2283.0,0.4952499999999999,6.929413080215454,1245,0.1819083333333332,0.25,0.7,0.05,0.0,0.7,0.3,42,steady,M5-PA
50,"[False, True, False]",0,1,0,0.3333333333333333,2342.9999999999995,0.53025,9.007910966873167,1245,0.1924083333333333,0.1499999999999999,0.8,0.05,0.0,0.7,0.3,42,steady,M5-PA
51,"[False, False, True]",0,0,1,0.3333333333333333,2820.0,0.42075,7.3665452003479,1241,0.1595583333333333,0.4833333333333333,0.2333333333333333,0.2833333333333334,0.0,0.6,0.4,42,steady,M5-PA
52,"[False, False, False]",0,0,0,0.0,2480.0,0.4645,7.765496015548706,1240,0.0726833333333333,0.6,0.35,0.0500000000000001,0.0,0.5,0.3,42,steady,M5-PA
53,"[False, True, False]",0,1,0,0.3333333333333333,3259.0,0.4805,7.593024015426636,1236,0.1608166666666666,0.4499999999999999,0.5,0.05,0.0,0.6,0.3,42,steady,M5-PA
54,"[False, True, False]",0,1,0,0.3333333333333333,2000.0,0.38275,9.056266784667969,1259,0.1314916666666666,0.35,0.6,0.05,0.0,0.7,0.2,42,steady,M5-PA
55,"[False, True, False]",0,1,0,0.3333333333333333,3365.0000000000005,0.5507500000000001,8.599772930145264,1246,0.1985583333333333,0.25,0.7,0.05,0.0,0.8,0.2,42,steady,M5-PA
56,"[False, True, False]",0,1,0,0.3333333333333333,4970.0,0.47275,8.71876311302185,1244,0.1584916666666666,0.1499999999999999,0.8,0.05,0.0,0.8,0.1,42,steady,M5-PA
57,"[False, True, False]",0,1,0,0.3333333333333333,4667.0,0.5695,7.350097179412842,1237,0.1875166666666666,0.05,0.9,0.05,0.0,0.8,0.1,42,steady,M5-PA
58,"[False, True, False]",0,1,0,0.3333333333333333,3747.0,0.6175,7.609624147415161,1241,0.2019166666666666,0.05,0.9,0.05,0.0,0.8,0.1,42,steady,M5-PA
59,"[False, True, False]",0,1,0,0.3333333333333333,2973.0,0.51475,7.701693058013916,1261,0.1710916666666666,0.05,0.9,0.05,0.0,0.8,0.1,42,steady,M5-PA
60,"[False, True, True]",0,1,1,0.6666666666666666,2559.9999999999995,0.51,8.552683115005493,1238,0.253,0.3833333333333333,0.2833333333333333,0.3333333333333333,0.0,0.8,0.2,42,steady,M5-PA
61,"[False, True, False]",0,1,0,0.3333333333333333,3131.0,0.58325,8.187976360321045,1245,0.2083083333333333,0.5,0.35,0.15,0.0,0.9,0.1,42,steady,M5-PA
62,"[False, True, False]",0,1,0,0.3333333333333333,2360.0,0.5085000000000001,7.731866121292114,1245,0.20255,0.4499999999999999,0.5,0.05,0.0,1.0,0.1,42,steady,M5-PA
63,"[False, True, False]",0,1,0,0.3333333333333333,1360.0,0.46675,8.559791088104248,1242,0.1900249999999999,0.3999999999999999,0.55,0.05,0.0,1.0,0.1,42,steady,M5-PA
64,"[False, True, False]",0,1,0,0.3333333333333333,1770.0,0.4025,9.102567911148071,1247,0.17075,0.35,0.6,0.05,0.0,1.0,0.1,42,steady,M5-PA
65,"[False, True, False]",0,1,0,0.3333333333333333,3449.0,0.494,8.002760171890259,1253,0.1982,0.3,0.65,0.05,0.0,1.0,0.1,42,steady,M5-PA
66,"[False, True, False]",0,1,0,0.3333333333333333,5126.0,0.4554999999999999,7.661021947860718,1252,0.1866499999999999,0.25,0.7,0.05,0.0,1.0,0.1,42,steady,M5-PA
67,"[False, True, False]",0,1,0,0.3333333333333333,5512.0,0.595,9.642315149307253,1255,0.2284999999999999,0.2,0.75,0.05,0.0,1.0,0.1,42,steady,M5-PA
68,"[False, True, False]",0,1,0,0.3333333333333333,5944.999999999999,0.54025,8.1160569190979,1252,0.2120749999999999,0.1499999999999999,0.8,0.05,0.0,1.0,0.1,42,steady,M5-PA
69,"[False, True, False]",0,1,0,0.3333333333333333,6396.0,0.5815,7.672820329666138,1253,0.2244499999999999,0.1,0.85,0.05,0.0,1.0,0.1,42,steady,M5-PA
70,"[False, True, False]",0,1,0,0.3333333333333333,6426.0,0.5525,7.810968160629272,1239,0.1990833333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
71,"[False, True, False]",0,1,0,0.3333333333333333,6514.0,0.5635,7.879436016082764,1241,0.2023833333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
72,"[False, True, False]",0,1,0,0.3333333333333333,7558.0,0.57775,8.499321937561035,1239,0.2066583333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
73,"[False, True, False]",0,1,0,0.3333333333333333,8615.999999999998,0.50225,8.235196828842163,1247,0.1840083333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
74,"[False, True, False]",0,1,0,0.3333333333333333,8615.999999999998,0.62725,7.92864203453064,1261,0.2215083333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
75,"[False, True, False]",0,1,0,0.3333333333333333,7500.0,0.69075,8.749747037887573,1259,0.2405583333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
76,"[False, True, False]",0,1,0,0.3333333333333333,6440.0,0.6265,8.050546884536743,1245,0.2212833333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
77,"[False, True, False]",0,1,0,0.3333333333333333,6440.0,0.594,8.445123195648193,1259,0.2115333333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
78,"[False, True, False]",0,1,0,0.3333333333333333,5296.0,0.6164999999999999,7.944761037826538,1239,0.2182833333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
79,"[False, True, False]",0,1,0,0.3333333333333333,6285.0,0.4415,7.3531670570373535,1241,0.1657833333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
80,"[False, True, False]",0,1,0,0.3333333333333333,5243.0,0.4235,7.535649061203003,1246,0.1603833333333332,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
81,"[False, True, False]",0,1,0,0.3333333333333333,5223.0,0.526,9.51472306251526,1260,0.1911333333333333,0.05,0.9,0.05,0.0,1.0,0.0,42,steady,M5-PA
